region_code,location_key,site_number,site_code,display_name
HA,Baarah,1201,HA_1201_Baarah,HA 1201 Baarah
HA,Dhidhdhoo,1202,HA_1202_Dhidhdhoo,HA 1202 Dhidhdhoo
HA,Dhidhdhoo_Heyzleen,1217,HA_1217_Dhidhdhoo_Heyzleen,HA 1217 Dhidhdhoo Heyzleen
HA,Filladhoo,1212,HA_1212_Filladhoo,HA 1212 Filladhoo
HA,Hoarafushi,1203,HA_1203_Hoarafushi,HA 1203 Hoarafushi
HA,Ihavandhoo,1204,HA_1204_Ihavandhoo,HA 1204 Ihavandhoo
HA,Island_Hideway_Resort,1225,HA_1225_Island_Hideway_Resort,HA 1225 Island Hideway Resort
HA,Kelaa,1205,HA_1205_Kelaa,HA 1205 Kelaa
HA,Maarandhoo,1214,HA_1214_Maarandhoo,HA 1214 Maarandhoo
HA,Manafaru_Resort,1215,HA_1215_Manafaru_Resort,HA 1215 Manafaru Resort
HA,Muraidhoo,1211,HA_1211_Muraidhoo,HA 1211 Muraidhoo
HA,Thakandhoo,1206,HA_1206_Thakandhoo,HA 1206 Thakandhoo
HA,Uligamu,1207,HA_1207_Uligamu,HA 1207 Uligamu
HA,Utheemu,1209,HA_1209_Utheemu,HA 1209 Utheemu
HA,Vashafaru,1210,HA_1210_Vashafaru,HA 1210 Vashafaru
HDh,Dhipparufushi_Resort,1362,HDh_1362_Dhipparufushi_Resort,HDh 1362 Dhipparufushi Resort
HDh,Finey,1301,HDh_1301_Finey,HDh 1301 Finey
HDh,Hanimaadhoo,1302,HDh_1302_Hanimaadhoo,HDh 1302 Hanimaadhoo
HDh,Hirimaradhoo,1320,HDh_1320_Hirimaradhoo,HDh 1320 Hirimaradhoo
HDh,Kulhudhuffushi,1303,HDh_1303_Kulhudhuffushi,HDh 1303 Kulhudhuffushi
HDh,Kulhudhuffushi_2,1304,HDh_1304_Kulhudhuffushi_2,HDh 1304 Kulhudhuffushi 2
HDh,Kulhudhuffushi_Gadhage,1321,HDh_1321_Kulhudhuffushi_Gadhage,HDh 1321 Kulhudhuffushi Gadhage
HDh,Kumundhoo,1311,HDh_1311_Kumundhoo,HDh 1311 Kumundhoo
HDh,Kurinbi,1305,HDh_1305_Kurinbi,HDh 1305 Kurinbi
HDh,Makunudhoo,1306,HDh_1306_Makunudhoo,HDh 1306 Makunudhoo
HDh,Naivaadhoo,1307,HDh_1307_Naivaadhoo,HDh 1307 Naivaadhoo
HDh,Nellaidhoo,1309,HDh_1309_Nellaidhoo,HDh 1309 Nellaidhoo
HDh,Neykurendhoo,1308,HDh_1308_Neykurendhoo,HDh 1308 Neykurendhoo
HDh,Nolhivaram,1313,HDh_1313_Nolhivaram,HDh 1313 Nolhivaram
HDh,Nolhivaranfaru,1312,HDh_1312_Nolhivaranfaru,HDh 1312 Nolhivaranfaru
HDh,Vaikaradhoo,1310,HDh_1310_Vaikaradhoo,HDh 1310 Vaikaradhoo
K,Aarah,2328,K_2328_Aarah,K 2328 Aarah
K,Akirifushi_Resort,2719,K_2719_Akirifushi_Resort,K 2719 Akirifushi Resort
K,Anakandhoo_Resort,2824,K_2824_Anakandhoo_Resort,K 2824 Anakandhoo Resort
K,Anantara_Bushi_Resort,2629,K_2629_Anantara_Bushi_Resort,K 2629 Anantara Bushi Resort
K,Anantara_Dhigu_Resort,2632,K_2632_Anantara_Dhigu_Resort,K 2632 Anantara Dhigu Resort
K,Anantara_Veli_Resort,2326,K_2326_Anantara_Veli_Resort,K 2326 Anantara Veli Resort
K,Bandos_Resort,2315,K_2315_Bandos_Resort,K 2315 Bandos Resort
K,Baros_Resort,2614,K_2614_Baros_Resort,K 2614 Baros Resort
K,Biyaadhoo_Resort,2360,K_2360_Biyaadhoo_Resort,K 2360 Biyaadhoo Resort
K,Bolifushi_Resort,2356,K_2356_Bolifushi_Resort,K 2356 Bolifushi Resort
K,CocoPalm_Boduhithi_Resort,2362,K_2362_CocoPalm_Boduhithi_Resort,K 2362 CocoPalm Boduhithi Resort
K,Cocoa_Island_Resort,2396,K_2396_Cocoa_Island_Resort,K 2396 Cocoa Island Resort
K,Dhiffushi,2301,K_2301_Dhiffushi,K 2301 Dhiffushi
K,Enboodhoo_Resort,2345,K_2345_Enboodhoo_Resort,K 2345 Enboodhoo Resort
K,Eriyadhoo_Resort,2348,K_2348_Eriyadhoo_Resort,K 2348 Eriyadhoo Resort
K,Fihalhohi_Island_Resort,2616,K_2616_Fihalhohi_Island_Resort,K 2616 Fihalhohi Island Resort
K,Full_Moon_Resort,2337,K_2337_Full_Moon_Resort,K 2337 Full Moon Resort
K,Fun_Island_Resort,2609,K_2609_Fun_Island_Resort,K 2609 Fun Island Resort
K,Gaafaru,2303,K_2303_Gaafaru,K 2303 Gaafaru
K,Gasfinolhu_Resort,2355,K_2355_Gasfinolhu_Resort,K 2355 Gasfinolhu Resort
K,Gili_Lankanfushi_Resort,2378,K_2378_Gili_Lankanfushi_Resort,K 2378 Gili Lankanfushi Resort
K,Gulhi,2321,K_2321_Gulhi,K 2321 Gulhi
K,GulhiFalhu,2602,K_2602_GulhiFalhu,K 2602 GulhiFalhu
K,Guraidhoo,2304,K_2304_Guraidhoo,K 2304 Guraidhoo
K,Helengeli_Resort,2697,K_2697_Helengeli_Resort,K 2697 Helengeli Resort
K,Himmafushi,2306,K_2306_Himmafushi,K 2306 Himmafushi
K,Hudhuranfushi_Resort,2371,K_2371_Hudhuranfushi_Resort,K 2371 Hudhuranfushi Resort
K,Hulhumale,2307,K_2307_Hulhumale,K 2307 Hulhumale
K,Hulhumale_Autism_Center,2606,K_2606_Hulhumale_Autism_Center,K 2606 Hulhumale Autism Center
K,Hulhumale_DRG,2672,K_2672_Hulhumale_DRG,K 2672 Hulhumale DRG
K,Hulhumale_HDC,2380,K_2380_Hulhumale_HDC,K 2380 Hulhumale HDC
K,Hulhumale_Javaahiru_Eleven,2564,K_2564_Hulhumale_Javaahiru_Eleven,K 2564 Hulhumale Javaahiru Eleven
K,Hulhumale_LOT10084,2487,K_2487_Hulhumale_LOT10084,K 2487 Hulhumale LOT10084
K,Hulhumale_LOT10977,2692,K_2692_Hulhumale_LOT10977,K 2692 Hulhumale LOT10977
K,Hulhumale_LOT11185,2560,K_2560_Hulhumale_LOT11185,K 2560 Hulhumale LOT11185
K,Hulhumale_MSC_Test,565,K_565_Hulhumale_MSC_Test,K 565 Hulhumale MSC Test
K,Hulhumale_Marina_View,2495,K_2495_Hulhumale_Marina_View,K 2495 Hulhumale Marina View
K,Hulhumale_PH2_Farukolhu,2562,K_2562_Hulhumale_PH2_Farukolhu,K 2562 Hulhumale PH2 Farukolhu
K,Hulhumale_PH2_H1,2496,K_2496_Hulhumale_PH2_H1,K 2496 Hulhumale PH2 H1
K,Hulhumale_PH2_H12,2492,K_2492_Hulhumale_PH2_H12,K 2492 Hulhumale PH2 H12
K,Hulhumale_PH2_H13,2463,K_2463_Hulhumale_PH2_H13,K 2463 Hulhumale PH2 H13
K,Hulhumale_PH2_TreeTower,2497,K_2497_Hulhumale_PH2_TreeTower,K 2497 Hulhumale PH2 TreeTower
K,Hulhumale_Warehouse,2332,K_2332_Hulhumale_Warehouse,K 2332 Hulhumale Warehouse
K,Huraa,2341,K_2341_Huraa,K 2341 Huraa
